dataset,loss,query,orig_answer_id,orig_answer_excerpt,tgt_id,tgt_excerpt,suffix,suffix_len,suffix_token_ids,baseline_rank,final_rank,delta_rank,delta_cos,delta_ndcg,success,iter_used,pos_rank,pos_excerpt
fever,hinge,Sony Pictures Animation was the producer of The Emoji Movie.,The_Emoji_Movie,The Emoji Movie is an upcoming 2017 American 3D computer-animated buddy adventure comedy film written and directed by To,Japanese_gunboat_Sumida_(1939),"was a river gunboat of the Imperial Japanese Navy , that operated on the Yangtze River in China during the 1940s , and d",shipbuilding ser vaulted defender ##quel,5,"[16802, 14262, 24616, 8291, 22197]",100,33,67,-0.03240966796875,0.04637114900913464,0,4200,,
fever,hinge,The 1983-84 NBA season ended with the Boston Celtics winning.,1983–84_NBA_season,The 1983 -- 84 NBA season was the 38th season of the National Basketball Association . The season ended with the Boston ,Bertha_of_Rouergue,Bertha ( died between 1063 and 1065 ) was the Countess of Rouergue and Gévaudan from 1054 to her death . She was the dau,awake she shifters kn ##gent,5,"[8300, 2016, 21537, 14161, 11461]",100,59,41,-0.04224586486816406,0.01910332437509346,0,2400,,
fever,hinge,England was birthplace of what would become the Industrial Revolution.,England,England is a country that is part of the United Kingdom . It shares land borders with Scotland to the north and Wales to,Breath_of_Life_(Louis_Hayes_album),Breath of Life is an album led by drummer Louis Hayes which was recorded in 1974 and released on the Muse label . <,≥ ##pura compiled ##ini registering,5,"[1609, 21228, 9227, 5498, 25719]",100,1,99,0.07803475856781006,0.849809516776312,1,2100,,
fever,hinge,Carrie Fisher was featured in a non-fiction book.,Carrie_Fisher,"Carrie Frances Fisher ( October 21 , 1956 -- December 27 , 2016 ) was an American actress , writer and humorist who firs",Mary-Louise_Parker,"Mary-Louise Parker ( born August 2 , 1964 ) is an American actress and author . In addition to her many films , Parker e",210 advantage mikhail risky ##jit,5,"[12875, 5056, 11318, 19188, 18902]",100,92,8,-0.0851668119430542,0.0027343850791441693,0,3600,,
fever,hinge,Susan Sarandon portrayed Bette Davis in the first season of FX's anthology series Feud.,Susan_Sarandon,"Susan Abigail Sarandon ( -LSB- səˈrændən -RSB- née Tomalin ; born October 4 , 1946 ) is an American actress and activist",Nomeco,"Nomeco , a wholly owned subsidiary of Phoenix Group , is the largest wholesaler of pharmaceutical products in Denmark . ",##rgh migrated cortex gang ##uit,5,"[27172, 13447, 17132, 6080, 14663]",100,1,99,0.02671980857849121,0.849809516776312,1,4200,,
fever,hinge,This Is Us has Chrissy Metz as part of the crew.,This_Is_Us_(TV_series),"This Is Us is an American television series created by Dan Fogelman that premiered on NBC on September 20 , 2016 . The e",Japanese_gunboat_Sumida_(1939),"was a river gunboat of the Imperial Japanese Navy , that operated on the Yangtze River in China during the 1940s , and d",wilkins ##boat ₹ ##奈 brave,5,"[22745, 11975, 1576, 30340, 9191]",100,26,74,-0.06922781467437744,0.06011943463346453,0,3600,,
fever,hinge,Bob Riley was the only ever the 50th Governor of Alabama.,Bob_Riley,"Robert Renfroe Riley ( born October 3 , 1944 ) is an American politician who was the 52nd Governor of Alabama from 2003 ",New_World_Disorder_I,"New World Disorder is the first of the series of New World Disorder Mountain-biking films . Released in 2000 , the film ",polymers yourself act kylie oz,5,"[27216, 4426, 2552, 9008, 11472]",100,31,69,-0.07901632785797119,0.04980951677631204,0,4500,,
fever,hinge,Luke Evans was not featured in Disney's live-action adaptation of Beauty and the Beast.,Luke_Evans_(actor),"Luke Evans ( born 15 April 1979 ) is a Welsh actor . Evans began his career on the stage , performing in many of London ","Centralia,_Pennsylvania","Centralia is a borough and near-ghost town in Columbia County , Pennsylvania , United States . Its population has dwindl",computers ##arney burlington ##lda repository,5,"[7588, 25831, 15552, 15150, 22409]",100,1,99,-0.012676835060119629,0.849809516776312,1,4300,,
fever,hinge,Jon Snow is a character on the HBO series Curb Your Enthusiasm.,Jon_Snow_(character),Jon Snow is a fictional character in the A Song of Ice and Fire series of fantasy novels by American author George R. R.,Champion_(2002_film),"Champion is a 2002 South Korean film directed by Kwak Kyung-taek , about South Korean boxer Duk Koo Kim , portrayed by Y",superfamily comrade 和 ##▪ adultery,5,"[24169, 27661, 1796, 30145, 29169]",100,5,95,0.03489965200424194,0.23666232401085366,0,4100,,
fever,hinge,"Diana Rigg was born on July 20th, 1938.",Diana_Rigg,"Dame Enid Diana Elizabeth Rigg , DBE ( born 20 July 1938 ) is an English actress . She is known for playing Emma Peel in",The_Illusionist_(2006_film),The Illusionist is a 2006 American romantic mystery film written and directed by Neil Burger and starring Edward Norton ,defense ##dra sentai surfing backpack,5,"[3639, 7265, 28650, 19967, 13383]",100,132,-32,-0.11797648668289185,-0.008452713100107867,0,2200,,
fever,hinge,"The United States Congress fails to meet in Washington, D.C.",United_States_Congress,The United States Congress is the bicameral legislature of the federal government of the United States consisting of two,Ricardo_André,"Ricardo André may refer to :   Ricardo André ( footballer , born 1982 ) , Portuguese football player , full name Ricardo",##ai premio pedro genuine ##pt,5,"[4886, 23031, 7707, 10218, 13876]",100,7,93,0.11408758163452148,0.18314285010964534,0,5200,,
fever,hinge,Manchester City F.C. is a English football stadium.,Abu_Dhabi_United_Group,"The Abu Dhabi United Group for Development and Investment ( ADUG ) , مجموعة أبوظبي الاتحاد للتنمية والاستثمار , ' is a U",Pedro_Lisímaco_de_Jesús_Vílchez_Vílchez,"Pedro Lisímaco de Jesús Vílchez Vílchez ( May 19 , 1929 -- February 19 , 2013 ) was a Roman Catholic bishop .   Ordained",##eded warrant demanding ᵈ ##vati,5,"[19082, 10943, 9694, 1498, 20203]",100,3,97,-0.17582625150680542,0.349809516776312,0,3700,,
fever,hinge,Gillian Anderson belongs to the Order of the British Empire.,Order_of_the_British_Empire,The Most Excellent Order of the British Empire is a British order of chivalry ; rewarding contributions to the arts and ,Nomeco,"Nomeco , a wholly owned subsidiary of Phoenix Group , is the largest wholesaler of pharmaceutical products in Denmark . ",##ovo approached predecessors shropshire treasures,5,"[16059, 5411, 16372, 19322, 17605]",100,1,99,0.0603870153427124,0.849809516776312,1,800,,
fever,hinge,The Illusionist (2006 film) is a film.,The_Illusionist_(2006_film),The Illusionist is a 2006 American romantic mystery film written and directed by Neil Burger and starring Edward Norton ,Sharp_Mary_Birch_Hospital_for_Women_&_Newborns,"Sharp Mary Birch Hospital for Women & Newborns part of Sharp HealthCare , is a 171 bed , not for profit hospital . Locat",lgbt ##osta lok minneapolis celtics,5,"[12010, 28696, 13660, 11334, 23279]",100,7,93,-0.013855576515197754,0.18314285010964534,0,2900,,
fever,hinge,"Lisa Kudrow was in Romy and Michele's High School Reunion (1997), The Opposite of Sex (1998), Analyze This (1999) and its sequel Analyze That (2002), Dr. Dolittle 2 (2001), Wonderland (2003), Happy Endings (2005), P.S. I Love You (2007), Bandslam (2008), Hotel for Dogs (2009), Easy A (2010), Neighbors (2014), its sequel Neighbors 2: Sorority Rising (2016) and The Girl on the Train (2016).",Lisa_Kudrow,"Lisa Valerie Kudrow ( -LSB- ` kuːdroʊ -RSB- born July 30 , 1963 ) is an American actress , comedian , writer and produce",Pledge,Pledge may refer to :,objection dina モ use subsequently,5,"[22224, 26146, 1727, 2224, 3525]",100,17,83,0.08722704648971558,0.08962198334444349,0,3600,,
fever,hinge,George Washington served as the first President of the United States.,George_Washington,"George Washington ( -LSB- ˈdʒɔɹdʒ_ˈwɒʃɪŋtən -RSB- -- , 1799 ) was an American politician and soldier who served as the f",Abdul_Malik,"Abdul Malik is an Arabic ( Muslim or Christian ) male given name and , in modern usage , surname . It is built from the ",##oga ##ntial ##』 verbal 1016,5,"[18170, 19909, 30170, 12064, 28707]",100,1,99,0.03796732425689697,0.849809516776312,1,1100,,
fever,hinge,"From 1961 until 1989, Berlin was split by the Berlin Wall.",Berlin_Wall,The Berlin Wall ( Berliner Mauer ) was a guarded concrete barrier that physically and ideologically divided Berlin from ,Defeat_into_Victory,Defeat into Victory is an account of the retaking of Burma by Allied forces during the Second World War by the British F,malaga madhya ##iae examines assassins,5,"[27382, 20841, 19001, 20798, 18364]",100,19,81,-0.05632275342941284,0.08118772993607118,0,6700,,
fever,hinge,"Centralia, Pennsylvania had a hundred residents in 2013.","Centralia,_Pennsylvania","Centralia is a borough and near-ghost town in Columbia County , Pennsylvania , United States . Its population has dwindl","The_Fourth_""R""","The Fourth `` R '' ( also known as The Brain Machine ) is a science fiction novel by American writer George O. Smith , f",shields reproduced curled ##ably borough,5,"[11824, 22296, 8188, 8231, 5538]",100,27,73,-0.10249078273773193,0.05782411445282151,0,4000,,
fever,hinge,Don't Forget Where You Belong was written by Niall Horan.,Niall_Horan,"Niall James Horan ( born 13 September 1993 ) is an Irish singer and songwriter , best known as a member of the boy band ",Ildefons_Pauler,Ildefons Pauler ( 9 November 1903 -- 9 January 1996 ) was the 63rd Grand Master of the Teutonic Order from 1970 to 1988 ,##に fatigue recipient cory danube,5,"[30194, 16342, 7799, 18342, 16212]",100,25,75,-0.02352970838546753,0.06255557032967521,0,4700,,
fever,hinge,Wishful Drinking is based on a one-woman show by Carrie Fisher.,Wishful_Drinking,"Wishful Drinking is an autobiographical humor book by American actress and author Carrie Fisher , published by Simon & S",A_Game_of_Thrones,"A Game of Thrones is the first novel in A Song of Ice and Fire , a series of fantasy novels by American author George R.",hue nebraska creates aristotle shah,5,"[20639, 8506, 9005, 17484, 7890]",100,7,93,-0.038619041442871094,0.18314285010964534,0,3200,,
fever,hinge,"Fabian Cancellara died on March 18, 1981.",Fabian_Cancellara,"Fabian Cancellara ( born 18 March 1981 ) , nicknamed `` Spartacus '' , is a Swiss former professional road bicycle racer",Canadian_federal_election_results_in_Ottawa,"This page shows results of Canadian federal elections in the Ottawa , Ontario area since the 1979 election .   Key  Red ",kettle michelle 233 brought vote,5,"[22421, 9393, 22115, 2716, 3789]",100,1,99,0.01151365041732788,0.849809516776312,1,900,,
fever,hinge,Miley Cyrus died before releasing The Time of Our Lives.,Miley_Cyrus,"Miley Ray Cyrus ( born Destiny Hope Cyrus ; November 23 , 1992 ) is an American singer , songwriter , and actress . Afte",Miley_Cyrus,"Miley Ray Cyrus ( born Destiny Hope Cyrus ; November 23 , 1992 ) is an American singer , songwriter , and actress . Afte",twist believes armenians elegance studios,5,"[9792, 7164, 20337, 27745, 4835]",100,1,99,0.03245139122009277,0.849809516776312,1,300,,
fever,hinge,Cristiano Ronaldo is a professional footballer for Italian club Real Madrid.,Cristiano_Ronaldo,"Cristiano Ronaldo dos Santos Aveiro , ( -LSB- kɾiʃ ` tjɐnu ʁuˈnaɫdu -RSB- , born 5 February 1985 ) is a Portuguese profe",Toothed_leaf_chameleon,"The toothed leaf chameleon , Brookesia dentata , is a species of chameleons endemic to northwestern Madagascar . It was ",harlow hmm aqueduct visitation [unused483],5,"[22545, 17012, 24016, 28877, 488]",100,9,91,-0.16665750741958618,0.15083951244029323,0,2900,,
fever,hinge,Eddie Redmayne acted in a film directed by Justin Chadwick.,The_Other_Boleyn_Girl_(2008_film),The Other Boleyn Girl is a 2008 historical drama film directed by Justin Chadwick . The screenplay by Peter Morgan was a,Abu_Dhabi_United_Group,"The Abu Dhabi United Group for Development and Investment ( ADUG ) , مجموعة أبوظبي الاتحاد للتنمية والاستثمار , ' is a U",##к ##gata advised [unused331] bangladesh,5,"[23925, 26589, 9449, 336, 7269]",100,1,99,-0.030422866344451904,0.849809516776312,1,4000,,
fever,hinge,R. Madhavan was passed over for a role in Guru.,R._Madhavan,"Ranganathan Madhavan ( born 1 June 1970 ) is an Indian actor , writer and film producer . Madhavan has received two Film","Cozahome,_Arkansas","Cozahome is an unincorporated community in Searcy County , Arkansas , United States . Cozahome is 12 mi northeast of Mar",reflect ked squads hawaii subscription,5,"[8339, 16135, 20191, 7359, 15002]",100,123,-23,-0.12360167503356934,-0.006392414350310405,0,2700,,
fever,hinge,Dirt (TV Series) was produced by NBC studios.,Dirt_(TV_series),Dirt ( styled d!rt for logos ) is an American television serial broadcast on the FX network . It premiered on January 2 ,Woolworth_Mexicana,Woolworth Mexicana is a chain of retail variety stores which were founded by the F. W. Woolworth Company of the United S,iranian signalling curved ##va af,5,"[7726, 21919, 9203, 3567, 21358]",100,1,99,0.0035941600799560547,0.849809516776312,1,4200,,
fever,hinge,South Korea is the world's fifth largest exporter.,South_Korea,"South Korea , officially the Republic of Korea ( ROK ; ) , is a sovereign state in East Asia , constituting the southern","All_singing,_all_dancing","All singing , all dancing is an idiom meaning `` full of vitality '' , or , more recently , `` full-featured '' . It ori",agreed hampered ##istles flipped intentionally,5,"[3530, 22532, 28738, 9357, 15734]",100,4,96,-0.019690275192260742,0.2804860748497051,0,5700,,
fever,hinge,South Korea's main language is harder to learn compared to ancient Chinese.,Hangul,"The Korean alphabet , known as Hangul in South Korea ( also transcribed Hangeul ) and as Chosŏn ` gŭl / Chosŏn Muntcha i",Pari_Networks,"Pari Networks was an America-based multinational company based in Milpitas , California . It was a provider of network c",burroughs offer authorized annoyed ##body,5,"[25991, 3749, 9362, 11654, 23684]",100,17,83,0.018312036991119385,0.08962198334444349,0,2800,,
fever,hinge,Borussia Dortmund's nickname is die Schwarzgelben.,Borussia_Dortmund,"Ballspielverein Borussia 09 e.V. Dortmund , commonly known as Borussia Dortmund -LSB- boˈʁʊsi̯aː ˈdɔʁtmʊnt -RSB- , BVB ,",Rossiya_Tournament_1980,Rossiya Tournament 1980 was played in Syktyvkar on 1-5 February 1980 . The Soviet Union won the tournament .   The tourn,gathered directorial ##uge 1966 prompting,5,"[5935, 21635, 22890, 3547, 15870]",100,1,99,0.025556445121765137,0.849809516776312,1,300,,
fever,hinge,Shirley MacLaine won an Emmy Award for Gypsy In My Soul.,Shirley_MacLaine,"Shirley MacLaine ( born Shirley MacLean Beaty ; April 24 , 1934 ) is an American film , television and theater actress ,",Cannabis_in_Malawi,"Cannabis in Malawi is prohibited , but remains a popular drug and is produced for domestic use and export . In Chichewa ",cyclists tourism focused murdoch landed,5,"[21912, 6813, 4208, 19954, 5565]",100,1,99,-0.16286629438400269,0.849809516776312,1,900,,
fever,hinge,Elle Fanning's breakout role was not Alice Dainard.,Elle_Fanning,"Mary Elle Fanning ( born April 9 , 1998 ) is an American actress . She is the younger sister of actress Dakota Fanning .",The_Illusionist_(2006_film),The Illusionist is a 2006 American romantic mystery film written and directed by Neil Burger and starring Edward Norton ,ground prologue ##odes ##dier palace,5,"[2598, 18877, 19847, 24612, 4186]",100,12,88,-0.06932246685028076,0.12004767120363177,0,3900,,
fever,hinge,Papua New Guinea is unofficially the Dependent State of Papua New Guinea,Papua_New_Guinea,"Papua New Guinea ( PNG ; -LSB- ˈpæpuə_njuː_ˈgɪniː , _ ˈpɑː - , _ - pju - -RSB- , -LSB- ˈpæpjuə , _ pɑːˈpuːə -RSB- Papua ",Sharp_Mary_Birch_Hospital_for_Women_&_Newborns,"Sharp Mary Birch Hospital for Women & Newborns part of Sharp HealthCare , is a 171 bed , not for profit hospital . Locat",hospitals premium ken symphonic வ,5,"[8323, 12882, 6358, 18957, 1394]",100,8,92,0.08672118186950684,0.1652743935620408,0,2500,,
fever,hinge,The Wars of the Roses happened in the 15th century.,Wars_of_the_Roses,The Wars of the Roses were a series of wars for control of the throne of England fought between supporters of two rival ,Otto_Haab,"Otto Haab ( 19 April 1850 -- 17 October 1931 ) was a Swiss ophthalmologist who was a native of Wülflingen , which today ",buchanan considered duluth fingers distal,5,"[14349, 2641, 28218, 3093, 29333]",100,3,97,0.08643752336502075,0.349809516776312,0,4600,,
fever,hinge,Prince (musician) released at least three solo albums.,Prince_(musician),"Prince Rogers Nelson ( June 7 , 1958 -- April 21 , 2016 ) was an American singer-songwriter , actor , multi-instrumental",Nomeco,"Nomeco , a wholly owned subsidiary of Phoenix Group , is the largest wholesaler of pharmaceutical products in Denmark . ",##ou adriatic throughout sacramento astor,5,"[7140, 23400, 2802, 11932, 25159]",100,17,83,0.02453833818435669,0.08962198334444349,0,4200,,
fever,hinge,The Jim Henson Company was the producer of The Muppet Movie.,The_Jim_Henson_Company,"The Jim Henson Company ( also known at various times as Muppets , LLC. , Henson Associates , Ltd. , and Jim Henson Produ",Tullibardine,"Tullibardine is a location in Perth and Kinross , Scotland , which gives its name to a village , a castle , and a grant ",terminals loch lizards ##fur ems,5,"[17703, 14941, 23898, 27942, 29031]",100,10,90,0.0024990439414978027,0.1388743430941999,0,5600,,
fever,hinge,Miranda Kerr is an Australian Victoria's Secret model.,Miranda_Kerr,Miranda May Kerr ( born 20 April 1983 ) is an Australian model . Kerr rose to prominence in 2007 as one of the Victoria ,The_Flying_Fifty-Five_(1924_film),"The Flying Fifty-Five is a 1924 British silent sports film directed by A. E. Coleby and starring Lionelle Howard , Steph",コ ##ky enamel ##inated 1929,5,"[1704, 4801, 29484, 15833, 4612]",100,37,63,-0.07293468713760376,0.04036092920308543,0,7700,,
fever,hinge,Baloo was featured in 1894's The Jungle Book.,Baloo,"Baloo ( भालू Bhālū , `` bear '' ) is a main fictional character featured in Rudyard Kipling 's The Jungle Book from 1894",South_Korea,"South Korea , officially the Republic of Korea ( ROK ; ) , is a sovereign state in East Asia , constituting the southern",minority tiger 陳 circular distressed,5,"[7162, 6816, 1972, 8206, 24305]",100,1,99,-0.035974860191345215,0.849809516776312,1,1100,,
fever,hinge,The Berlin File is a film that Jun Ji-hyun.,Jun_Ji-hyun,"Jun Ji-hyun ( born Wang Ji-hyun on 30 October 1981 ) , also known as Gianna Jun , is a South Korean actress . She rose t",Vemod,Vemod is the title of the first studio album released by the Swedish art rock band Anekdoten . According to the Trivia p,fielding callum palms ##♦ geschichte,5,"[15452, 15229, 9486, 30153, 28299]",100,1,99,-0.09812170267105103,0.849809516776312,1,2400,,
fever,hinge,Portal 2 is the sequel to the video game Portal.,Portal_2,Portal 2 is a 2011 first-person puzzle-platform video game developed and published by Valve Corporation . It is the sequ,Rice_County_Sheriff's_Office_(Kansas),"The Rice County Sheriff 's Department is a county law enforcement agency located in Lyons , Kansas .   Category : Kansas",reflect aiden prospects hawaii winery,5,"[8339, 15086, 16746, 7359, 23910]",100,1,99,-0.0440143346786499,0.849809516776312,1,200,,
fever,hinge,Adolf Hitler also murdered hundreds of thousands of people he found undesirable.,Adolf_Hitler,Adolf Hitler ( -LSB- ˈadɔlf ˈhɪtlɐ -RSB- ; 20 April 1889 -- 30 April 1945 ) was a German politician who was the leader o,Uttama_Chola,Uttama Chola ascended the Chola throne c. 970 CE succeeding Parantaka Chola II . Uttama was the son of the illustrious S,orchard rune the [unused595] secondly,5,"[15623, 23276, 1996, 600, 16378]",100,36,64,-0.0026227831840515137,0.04176823678287217,0,5100,,
fever,hinge,Schindler's List was released in North America.,United_States,"The United States of America ( USA ) , commonly known as the United States ( U.S. ) or America , is a constitutional fed",Enemy_Records,"Enemy Records is an independent record label based in Brooklyn , New York and Munich , Germany , founded in 1986 . Its d",essex ##sten oclc quarterly dans,5,"[8862, 16173, 12258, 12174, 18033]",100,18,82,-0.0009573101997375488,0.08521843014295027,0,2200,,
fever,hinge,Thomas Pynchon wrote the novel Mason & Dixon in 2000.,Thomas_Pynchon,"Thomas Ruggles Pynchon , Jr. ( -LSB- ˈpɪnˌtʃɒn -RSB- , commonly -LSB- ˈpɪntʃən -RSB- born May 8 , 1937 ) is an American ",Brokeback_Mountain,Brokeback Mountain is a 2005 American neo-western romantic drama film directed by Ang Lee and produced by Diana Ossana a,freestyle ##hen ##iae semifinals applies,5,"[9817, 10222, 19001, 8565, 12033]",100,38,62,-0.07117879390716553,0.03900987629318206,0,3800,,
fever,hinge,Black Panther appeared in mainstream American comics as a significant comic book character.,Black_Panther_(comics),The Black Panther ( T'Challa ) is a fictional superhero appearing in American comic books published by Marvel Comics . C,Flumpet,The Flumpet is a hybrid brass horn instrument that shares the construction and timbre qualities of a Trumpet and Flugelh,050 33 activated acoustic mw,5,"[28714, 3943, 8878, 6490, 12464]",100,1,99,0.047435462474823,0.849809516776312,1,6300,,
fever,hinge,Muhammad Ali was an exemplar of racial pride for African Americans during the Civil Rights Movement.,Muhammad_Ali,"Muhammad Ali ( -LSB- ɑːˈliː -RSB- born Cassius Marcellus Clay Jr. ; January 17 , 1942 -- June 3 , 2016 ) was an American",Otto_Haab,"Otto Haab ( 19 April 1850 -- 17 October 1931 ) was a Swiss ophthalmologist who was a native of Wülflingen , which today ",engraver enjoyed projecting breakaway rugged,5,"[27771, 5632, 18398, 26321, 17638]",100,3,97,0.04373574256896973,0.349809516776312,0,7200,,
fever,hinge,Leslie Uggams had a one-off role on Empire.,Leslie_Uggams,"Leslie Marian Uggams ( born May 25 , 1943 ) is an American actress and singer . Beginning her career as a child in the e",Ron_Morris_(athlete),"Ronald Hugh `` Ron '' Morris ( born April 27 , 1935 ) is a retired American track and field athlete who won the national",henrietta winthrop stokes scranton iaaf,5,"[20775, 28974, 18716, 26123, 21259]",100,10,90,-0.058817923069000244,0.1388743430941999,0,2500,,
fever,hinge,Pompeii receives approximately 2.5 million visitors every month.,Pompeii,"Pompeii was an ancient Roman town-city near modern Naples , in the Campania region of Italy , in the territory of the co",RS_Vision,"The RS Vision is a Sailing dinghy created by RS Sailing designed for 2 crew members . It can , however , be sailed by a ",reverse captivity ##if cho sans,5,"[7901, 16187, 10128, 16480, 20344]",100,1,99,0.029492199420928955,0.849809516776312,1,400,,
fever,hinge,Mukesh Ambani is the grandson of the founder of Reliance Industries.,Mukesh_Ambani,"Mukesh Dhirubhai Ambani ( born 19 April 1957 ) is an Indian business magnate who is the chairman , managing director and",RS_Vision,"The RS Vision is a Sailing dinghy created by RS Sailing designed for 2 crew members . It can , however , be sailed by a ",ト faber stephenson suite ventral,5,"[1714, 21720, 19789, 7621, 23420]",100,1,99,-0.040867745876312256,0.849809516776312,1,200,,
fever,hinge,Green Day is incapable of winning an award for Best Alternative Album for Dookie.,Green_Day,Green Day is an American punk rock band formed in 1986 by lead vocalist and guitarist Billie Joe Armstrong and bassist M,Yew_Chung_International_School_of_Chongqing,Yew Chung International School of Chongqing is an accredited K3 - Year 13 international school for boys and girls locate,whitley ##ral comprehensive holmes quezon,5,"[27007, 7941, 7721, 9106, 26564]",100,2,98,-0.04883682727813721,0.48073927034776953,0,4700,,
fever,hinge,Jamaicans for Justice is a non-violent committee.,Jamaicans_for_Justice,"Jamaicans for Justice ( JFJ ) is a non-profit , non-partisan , non-violent volunteer citizens ' rights action group . Ja",Chengyu_Expressway,"Chengyu Gaosugonglu is the first thruway from Chengdu to Chongqing , which was finished on July 1 , 1995 . The whole dis",consumption kyrgyzstan ##lund ##ove municipality,5,"[8381, 23209, 18028, 21818, 3250]",100,4,96,-0.12132364511489868,0.2804860748497051,0,3900,,
fever,hinge,"Spider-Man has been portrayed by Tobey Maguire, Andrew Garfield, and Tom Holland in films.",Spider-Man,Spider-Man is a fictional superhero appearing in American comic books published by Marvel Comics . The character was cre,Gajewo,"Gajewo may refer to the following places :  Gajewo , Czarnków-Trzcianka County in Greater Poland Voivodeship ( west-cent",municipalities sharma £3 ##kia 560,5,"[7602, 14654, 28182, 21128, 21267]",100,28,72,0.043830037117004395,0.055656349236746505,0,4600,,
