dataset,loss,query,orig_answer_id,orig_answer_excerpt,tgt_id,tgt_excerpt,suffix,suffix_len,suffix_token_ids,baseline_rank,final_rank,delta_rank,delta_cos,delta_ndcg,success,iter_used,pos_rank,pos_excerpt
scifact,hinge,Removal of H3K9me3 by ectopic expression of other H3K9 demethylases decreases reprogramming efficiency in SCNT experiments.,4547102,Aberrant epigenetic reprogramming often results in developmental defects in somatic cell nuclear transfer (SCNT) embryos,6157371,"Actin and its key regulatory component, cofilin, are found together in large rod-shaped assemblies in neurons subjected ",##tead strong coliseum useless airfields,5,"[14565, 2844, 18338, 11809, 25278]",100,38,62,-0.0364876389503479,0.03900987629318206,0,3500,,
scifact,hinge,B3-Galectin increases cell resistance to tyrosine kinase inhibitors (TKIs) by engaging the alternate KRAS-RalB signaling complex downstream of EGFR.,4702639,"Tumour cells, with stem-like properties, are highly aggressive and often show drug resistance. Here, we reveal that inte",13763195,Mammalian long intergenic noncoding RNAs (lincRNAs) are best known for modulating transcription. Here we report a posttr,1824 sudan ##kins ##uate ##kai,5,"[11617, 10411, 14322, 20598, 11151]",100,10,90,-0.11873221397399902,0.1388743430941999,0,2800,,
scifact,hinge,"Surfactin producing cells and exopolymer producing cells cooperate to generate ""Van Gogh"" bundles that have sliding abilities on specialized media.",12824568,"The organization of cells, emerging from cell-cell interactions, can give rise to collective properties. These propertie",13002003,"Despite the recent identification of the transcriptional regulatory circuitry involving SOX2, NANOG, and OCT-4, the intr",lazarus inhibit undefeated eligible nobility,5,"[23623, 26402, 15188, 7792, 11760]",100,79,21,-0.02879786491394043,0.00798910771609429,0,3900,,
scifact,hinge,Misunderstandings between doctors and patients can lead to non-adherence.,3610080,OBJECTIVES To identify and describe misunderstandings between patients and doctors associated with prescribing decisions,25121903,The number of cancer survivors continues to increase due to the aging and growth of the population and improvements in e,1793 pew nights affordable wing,5,"[12387, 29071, 6385, 15184, 3358]",100,25,75,0.02439659833908081,0.06255557032967521,0,2500,,
scifact,hinge,A single nucleotide variant the gene DGKK is strongly associated with increased risk of hypospadias.,380526,Hypospadias is a common congenital malformation of the male external genitalia. We performed a genome-wide association s,5473074,The twin-arginine transport (Tat) system translocates folded proteins across the bacterial cytoplasmic or chloroplast th,1817 ##立 ##class marquez demonstrating,5,"[12529, 30457, 26266, 27320, 14313]",100,6,94,-0.034365057945251465,0.2060167038843342,0,2500,,
scifact,hinge,A mutation in HNF4A leads to an increased risk of developing diabetes by the age of 14 years.,56893404,Background  Macrosomia is associated with considerable neonatal and maternal morbidity. Factors that predict macrosomia ,37311371,The memory T cell pool functions as a dynamic repository of antigen-experienced T lymphocytes that accumulate over the l,precedence pillar [unused624] ##athi ##yn,5,"[23359, 14809, 629, 25457, 6038]",100,4,96,0.008285284042358398,0.2804860748497051,0,5400,,
scifact,hinge,Bacteriophagaes MS2 and Qβ are members of the Leviviridae.,6903077,"In single-stranded ribonucleic acid (RNA) viruses, virus capsid assembly and genome packaging are intertwined processes.",3863543,"Mesenchymal niche cells may drive tissue failure and malignant transformation in the hematopoietic system, but the under",collaborated entrepreneurs [unused639] unemployment analysis,5,"[8678, 17633, 644, 12163, 4106]",100,10,90,0.04644566774368286,0.1388743430941999,0,5500,,
scifact,hinge,Excess gestational weight gain is associated with obesity-related pregnancy outcomes.,11360768,OBJECTIVE To evaluate the effects of dietary and lifestyle interventions in pregnancy on maternal and fetal weight and t,24795767,"The current study evaluates the role of quantitative measurement of peripheral lymphocyte subsets, especially CD4+ helpe",ʎ addiction dye mediated orton,5,"[1135, 13449, 18554, 19872, 25161]",100,1,99,0.06404286623001099,0.849809516776312,1,5500,,
scifact,hinge,Folate and vitamin B12 levels influence the association between homocysteine and preeclampsia.,8595678,BACKGROUND The MTHFR 677C→T polymorphism has been associated with raised homocysteine concentration and increased risk o,20456030,"Mitochondria play a pivotal role in energy metabolism, programmed cell death and oxidative stress. Mutated mitochondrial",trafficking economists clay caste crunch,5,"[11626, 22171, 5726, 14542, 24514]",100,1,99,-0.030933380126953125,0.849809516776312,1,200,,
scifact,hinge,Post-transcriptional handling of mitochondrial transcripts occurs in mitochondrial RNA granules.,13931771,"Various specialized domains have been described in the cytosol and the nucleus; however, little is known about compartme",17150648,"Glial cells perform critical functions that alter the metabolism and activity of neurons, and there is increasing intere",jogging expresses isotope eve ##bos,5,"[28233, 16783, 28846, 6574, 15853]",100,6,94,0.01517707109451294,0.2060167038843342,0,9200,,
scifact,hinge,Taking 400mg of α-tocopheryl acetate does not prevent prostate cancer.,12009265,"CONTEXT Many individuals take vitamins in the hopes of preventing chronic diseases such as cancer, and vitamins E and C ",4462079,Recent evidence suggests that vitamin D intakes above current recommendations may be associated with better health outco,corbett [unused187] fairbanks newark landmark,5,"[24119, 192, 24502, 12948, 8637]",100,1,99,-0.09576272964477539,0.849809516776312,1,2900,,
scifact,hinge,"A diminished ovarian reserve is a very strong indicator of infertility, even in an a priori non-infertile population.",13497630,"Importance Despite lack of evidence of their utility, biomarkers of ovarian reserve are being promoted as potential mark",24496245,Genetic evidence implicates the loss of bone morphogenetic protein type II receptor (BMPR-II) signaling in the endotheli,##gill vertebrae ##⁰ ##pine humans,5,"[19791, 25517, 30071, 19265, 4286]",100,49,51,0.0444064736366272,0.026993336911869947,0,4500,,
scifact,hinge,Risk of cardiovascular events can be cut by a third by using antihypertensive drug therapy among hemodialysis patients.,10072941,Epidemiological studies demonstrate that a lower blood pressure and decline in blood pressure over months or years are a,24496245,Genetic evidence implicates the loss of bone morphogenetic protein type II receptor (BMPR-II) signaling in the endotheli,encoding palma berth libraries ##cens,5,"[17181, 23985, 17064, 8860, 19023]",100,26,74,0.06405967473983765,0.06011943463346453,0,3100,,
scifact,hinge,ER-localized phosphatase Sac1 processes PI4P through coordination with OSBP and the endosome-localized protein sorting nexin 2.,600437,VAP (VAPA and VAPB) is an evolutionarily conserved endoplasmic reticulum (ER)-anchored protein that helps generate tethe,8610932,"Regulatory gene circuits with positive-feedback loops control stem cell differentiation, but several mechanisms can cont",sherlock harley abandonment carpenter crisis,5,"[20052, 13653, 22290, 10533, 5325]",100,30,70,-0.09222298860549927,0.05165860335841188,0,4700,,
scifact,hinge,Varying expression levels of EBI2 affect the positioning and migration of B cells.,15488881,Humoral immunity depends on both rapid and long-term antibody production against invading pathogens. This is achieved by,7549811,Polarized transport in neurons is fundamental for the formation of neuronal circuitry. A motor domain-containing truncat,hormones aim violation k distorted,5,"[20752, 6614, 11371, 1047, 19112]",100,6,94,-0.022848904132843018,0.2060167038843342,0,5500,,
scifact,hinge,The microtubule-dependent delivery and secretion of matrix metalloproteases (MMPs) is partially responsible for the disassembly of adhesion sites.,1676568,Turnover of integrin-based focal adhesions (FAs) with the extracellular matrix (ECM) is essential for coordinated cell m,14128314,"The recent derivation of pluripotent stem cell lines from a number of different sources, including reprogrammed adult so",mixed nobody davidson marriages wasting,5,"[3816, 6343, 12017, 12743, 18313]",100,15,85,-0.007616817951202393,0.09980951677631203,0,2400,,
scifact,hinge,Type 1 Diabetes is associated with subtle perturbations in T reg development.,13923140,"Autoimmune diseases are thought to result from imbalances in normal immune physiology and regulation. Here, we show that",4928057,"Organ-specific functions of tissue-resident macrophages in the steady-state heart are unknown. Here, we show that cardia",evolutionary convey changes atm [unused112],5,"[12761, 16636, 3431, 27218, 117]",100,5,95,0.09044837951660156,0.23666232401085366,0,3300,,
scifact,hinge,miRNAs regulate a unique suite of mRNAs to maintain homeostasis in cells.,2251426,Emerging data suggest that microRNAs (miRNAs) are instrumental in a variety of stress responses in addition to their mor,919007,"The forkhead box (Fox) family of transcription factors, which originated in unicellular eukaryotes, has expanded over ti",habitats 451 ruling huntington gunnar,5,"[10746, 28161, 6996, 16364, 26138]",100,7,93,-0.022321879863739014,0.18314285010964534,0,2400,,
scifact,hinge,Microglia are an innate immune cell type of the central nervous system.,15493354,Recent findings challenge the concept that microglia solely function in disease states in the central nervous system (CN,15716328,Endoplasmic reticulum (ER)-associated aminopeptidase (ERAP)1 has been implicated in the final proteolytic processing of ,deux [unused768] ##lt 150 intervened,5,"[24756, 773, 7096, 5018, 21116]",100,1,99,0.12667405605316162,0.849809516776312,1,5800,,
scifact,hinge,Exposure to fine particulate air pollution is unrelated to anxiety prevalence.,791050,OBJECTIVE To determine whether higher past exposure to particulate air pollution is associated with prevalent high sympt,15559582,"In a comparative study of pre- and postmenopausal women with benign and malignant breast disease, a number of difference",democrat galloway carter strawberry hoarse,5,"[7672, 22372, 5708, 16876, 21221]",100,49,51,-0.029309570789337158,0.026993336911869947,0,3800,,
scifact,hinge,Nonhuman primates are incapable of producing neutralizing antibodies in reponse to the Eilat virus (EILV) produced in mosquitos.,24922825,"Traditionally, vaccine development involves tradeoffs between immunogenicity and safety. Live-attenuated vaccines typica",19683625,"BACKGROUND Tetracyclines such as doxycycline are reported to possess cytotoxic activity against mammalian tumor cells, b",ы anti chun evaluated [unused865],5,"[1206, 3424, 20979, 16330, 870]",100,1,99,0.026793301105499268,0.849809516776312,1,700,,
scifact,hinge,Sudden death can occur in patients with orthostatic hypertension without cardiac conduction abnormalities.,1686881,"BACKGROUND Patients with familial amyloid polyneuropathy, a rare hereditary form of amyloidosis, have progressive autono",2613411,Tumour-associated cell cycle defects are often mediated by alterations in cyclin-dependent kinase (CDK) activity. Misreg,westbound ##lo ⇌ asylum jacob,5,"[24717, 4135, 1590, 11386, 6213]",100,184,-84,-0.09811407327651978,-0.017412717916943654,0,6800,,
scifact,hinge,Hematopoietic Stem Cell purification reaches purity rates above 90%.,13980338,Heterogeneity within the self-renewal durability of adult hematopoietic stem cells (HSCs) challenges our understanding o,4911006,Apoptotic cells have long been considered as intrinsically tolerogenic or unable to elicit immune responses specific for,template stirring traces latch ##mura,5,"[23561, 18385, 10279, 25635, 16069]",100,24,76,0.029944121837615967,0.06514779581300856,0,8100,,
scifact,hinge,4-PBA treatment raises endoplasmic reticulum stress in response to general endoplasmic reticulum stress markers.,32587939,Endoplasmic reticulum (ER) stress causes pancreatic β-cell dysfunction and contributes to β-cell loss and the progressio,28651643,Activating mutations within the K-ras gene occur in a high percentage of human pancreatic carcinomas. We reported previo,##udence improving ##lating felix ##oat,5,"[29424, 9229, 22248, 8383, 16503]",100,57,43,0.00575786828994751,0.020516796440032153,0,3800,,
scifact,hinge,Cost effectiveness evaluations based on cRCT data accurately reflect prices for patients in actual clinical practice.,15048300,BACKGROUND Data on absolute risks of outcomes and patterns of drug use in cost-effectiveness analyses are often based on,4254064,DEFINITIVE erythropoiesis in birds originates from stem cells that emerge in the splanchnopleural mesoderm near the embr,traced mentioning confessed diamond 1870s,5,"[9551, 18625, 14312, 6323, 14896]",100,6,94,-0.061397016048431396,0.2060167038843342,0,6100,,
scifact,hinge,Tuberculosis-induced granulomas express different immune system protein signatures than the surrounding tissue.,3475317,"Granulomas are the pathological hallmark of tuberculosis (TB). However, their function and mechanisms of formation remai",4429932,"Metastasis is a multistep process responsible for most cancer deaths, and it can be influenced by both the immediate mic",##sei derivative calcium mature ashes,5,"[20240, 13819, 13853, 9677, 11289]",100,5,95,0.01939469575881958,0.23666232401085366,0,5200,,
scifact,hinge,miR-142-5P is a known regulator of raised body temperature.,6766459,Fever is commonly used to diagnose disease and is consistently associated with increased mortality in critically ill pat,19882228,"Cells undergo a variety of biological responses when placed in hypoxic conditions, including activation of signalling pa",sinai deity avatar holiday socialism,5,"[20837, 12764, 22128, 6209, 14649]",100,18,82,-0.05347788333892822,0.08521843014295027,0,3200,,
scifact,hinge,Inhibiting focal adhesion formation increases the rate at which cells convert mechanical strain into inflammation and fibrosis.,5172048,Exuberant fibroproliferation is a common complication after injury for reasons that are not well understood. One key com,38587347,"Humoral immune responses depend on B cells encountering antigen, interacting with helper T cells, proliferating and diff",##pods tucked ##grating b1 butterflies,5,"[22925, 9332, 28183, 29491, 15023]",100,15,85,-0.011311054229736328,0.09980951677631203,0,5100,,
scifact,hinge,Urbanization is an important risk factor related to the transmission of dengue fever.,18816720,"BACKGROUND Transmission of dengue viruses (DENV), the leading cause of arboviral disease worldwide, is known to vary thr",15493354,Recent findings challenge the concept that microglia solely function in disease states in the central nervous system (CN,[unused821] avengers ##ency geometric expressions,5,"[826, 14936, 11916, 14965, 11423]",100,43,57,0.05086517333984375,0.03297876768994565,0,5300,,
scifact,hinge,Consumption of whole fruits increases the risk of type 2 diabetes.,1974176,OBJECTIVE To determine whether individual fruits are differentially associated with risk of type 2 diabetes. DESIGN Pros,10354110,"Follicular (FO) and marginal zone (MZ) B cells are maintained in distinct locations within the spleen, but the genetic b",chung ##su ӏ 1976 flair,5,"[15972, 6342, 1218, 3299, 22012]",100,6,94,0.012570679187774658,0.2060167038843342,0,5900,,
scifact,hinge,Ethanol stress increases the expression of SRL in bacteria.,1148122,"Understanding the genetic basis of adaptation is a central problem in biology. However, revealing the underlying molecul",17231273,"Energy deficiency and dysfunction of the Na+, K+-ATPase are common consequences of many pathological insults. The nature",##arat ##iere ##wa commits ##wick,5,"[25879, 21253, 4213, 27791, 7184]",100,1,99,-0.040447354316711426,0.849809516776312,1,200,,
scifact,hinge,Induced hepatic stem cells possess the potential to differentiate into hepatocytic cells.,20033112,"Recent studies have demonstrated direct reprogramming of fibroblasts into a range of somatic cell types, but to date ste",13989491,Humans expressing a defective form of the transcription factor AIRE (autoimmune regulator) develop multiorgan autoimmune,##ye grip instead giggle positioning,5,"[6672, 6218, 2612, 17565, 19120]",100,1,99,-0.02349632978439331,0.849809516776312,1,3400,,
scifact,hinge,p16INK4A degradation is encoded by CDKN2A.,17717391,"Monitoring cancer and aging in vivo remains experimentally challenging. Here, we describe a luciferase knockin mouse (p1",23195302,Enhancer of Zeste [E(z)] is a Polycomb-group transcriptional repressor and one of the founding members of the family of ,rus 1962 spices alterations oaxaca,5,"[22949, 3705, 21729, 16705, 26923]",100,2,98,-0.11860412359237671,0.48073927034776953,0,3800,,
scifact,hinge,Bacterial meningitis can be diagnosed on the basis of positive cerebrospinal fluid (CSF) cultures.,52874170,"CONTEXT Diagnostic lumbar punctures (LPs), commonly used to rule out meningitis, are associated with adverse events. OBJ",1921218,Tumor recurrence represents a major clinical challenge. Our data show that emergent recurrent tumors acquire a phenotype,sprawled besieged ⋅ castles orient,5,"[21212, 17923, 1614, 15618, 16865]",100,61,39,-0.09059923887252808,0.017758295733353968,0,5300,,
scifact,hinge,Long chain polyunsaturated fatty acids supplementation has no significant effects on wheezing or asthma at 3 and 6 years.,22442133,OBJECTIVE To determine whether dietary n-3 long chain polyunsaturated fatty acid (LCPUFA) supplementation of pregnant wo,8629328,Our understanding of the origins and the biological functions of different peripheral B cell subsets continues to evolve,sud उ bunker edited stein,5,"[19219, 1313, 15742, 5493, 14233]",100,4,96,0.0011776089668273926,0.2804860748497051,0,3600,,
scifact,hinge,Bariatric surgery leads to positive outcomes in mental health.,18872233,IMPORTANCE Bariatric surgery is associated with sustained weight loss and improved physical health status for severely o,39571812,"Reproductive function depends on the activity of the gonadotropic axis, which is controlled by a hypothalamic neural net",formation 354 ##ning plains mediated,5,"[4195, 27878, 5582, 8575, 19872]",100,8,92,0.06879091262817383,0.1652743935620408,0,5100,,
scifact,hinge,KRT17 modulates the expression of the transcriptional regulator AIRE in diseased epithelia.,12580014,Expression of the intermediate filament protein keratin 17 (K17) is robustly upregulated in inflammatory skin diseases a,164985,The tumor microenvironment (TME) plays a prominent role in the growth of tumor cells. As the major inflammatory componen,simulate 61 pads porcelain secretaries,5,"[26633, 6079, 19586, 17767, 23660]",100,9,91,-0.05008542537689209,0.15083951244029323,0,10300,,
scifact,hinge,Intake of folic acid (FA) and vitamin B6 (VB6) increases levels of homocysteine.,12810152,"CONTEXT Hyperhomocysteinemia is caused by genetic and lifestyle influences, including low intakes of folate and vitamin ",24512064,Apart from HIV two exogenous retroviruses (human T cell leukaemia viruses type I (HTLV-I) and type II (HTLV-II)) infect ,exception truly stokes types olsen,5,"[6453, 5621, 18716, 4127, 18997]",100,1,99,0.011248767375946045,0.849809516776312,1,300,,
scifact,hinge,Taking anti-depresents is associated with a decrease in the Aβ level in the brain of experimental animals.,5260382,Serotonin signaling suppresses generation of amyloid-β (Aβ) in vitro and in animal models of Alzheimer’s disease (AD). W,13757347,GABAergic interneurons of the parvalbumin-positive fast-spiking basket cells subtype (PV INs) are important regulators o,highlights lori wiring introduced packers,5,"[11637, 18669, 27930, 3107, 15285]",100,1,99,-0.05721712112426758,0.849809516776312,1,1200,,
scifact,hinge,"H4 G94P proteins induce chromatin assembly, which increases free histones.",14637235,Histone levels are tightly regulated to prevent harmful effects such as genomic instability and hypersensitivity to DNA-,4362729,"Cell growth, an increase in mass and size, is a highly regulated cellular event. The Akt/mTOR (mammalian target of rapam",1893 additive exemption langdon sherlock,5,"[6489, 29167, 19621, 15232, 20052]",100,12,88,-0.17157399654388428,0.12004767120363177,0,3700,,
scifact,hinge,Activated Cdk5 regulates DNA damage-induced neuronal death.,21295300,The phosphatidylinositol-3-kinase-like kinase ATM (ataxia-telangiectasia mutated) has a central role in coordinating DNA,7643848,We have characterized the membrane topology of a 60-kDa inner membrane protein from Escherichia coli that is homologous ,flanking empress breaks pietro shares,5,"[24958, 10248, 7807, 15541, 6661]",100,1,99,-0.07609450817108154,0.849809516776312,1,1400,,
scifact,hinge,Occipital activation levels are associated with auditory spatial performance in parietal regions of the brain.,313394,"Blind individuals often demonstrate enhanced nonvisual perceptual abilities. However, the neural substrate that underlie",24512064,Apart from HIV two exogenous retroviruses (human T cell leukaemia viruses type I (HTLV-I) and type II (HTLV-II)) infect ,previously ##dur additionally europeans transmitted,5,"[3130, 24979, 5678, 13481, 11860]",100,1,99,0.01580280065536499,0.849809516776312,1,1200,,
scifact,hinge,Recognition of start codons depends on the translation initiation factor IF3.,16927286,"In bacterial translational initiation, three initiation factors (IFs 1-3) enable the selection of initiator tRNA and the",6493422,"Precise control of myeloid cell activation is required for optimal host defense. However, this activation process must b",careless argument ##wa insulin extensively,5,"[23358, 6685, 4213, 22597, 8077]",100,8,92,0.0026094913482666016,0.1652743935620408,0,5800,,
scifact,hinge,Cancer-associated fibroblasts (CAFs) are constituents of tumor microenvironments,6944800,"Cancers develop in complex tissue environments, which they depend on for sustained growth, invasion and metastasis. Unli",12149169,Synthesis of ribosomal RNA (rRNA) by RNA polymerase (Pol) I is the first step in ribosome biogenesis and a regulatory sw,##lice ras accidents 273 ##yles,5,"[13231, 20710, 13436, 25371, 26274]",100,1,99,0.028081119060516357,0.849809516776312,1,200,,
scifact,hinge,Lmna knock-in models are appropriate for testing therapeutic approaches against Hutchinson-Gilford progeria syndrome (HGPS).,22544171,Hutchinson-Gilford progeria syndrome (HGPS) is a childhood premature aging disease caused by a spontaneous point mutatio,12885341,"West Nile virus (WNV) is the most common arthropod-borne flavivirus in the United States; however, the vector ligand(s) ",₆ defining kabul ty ##alis,5,"[1553, 12854, 21073, 5939, 13911]",100,27,73,-0.06859791278839111,0.05782411445282151,0,3700,,
scifact,hinge,Antiretroviral therapy increases rates of tuberculosis across a broad range of CD4 strata.,4883040,BACKGROUND Human immunodeficiency virus (HIV) infection is the strongest risk factor for developing tuberculosis and has,29399239,Neutrophil extracellular traps (NETs) are made of processed chromatin bound to granular and selected cytoplasmic protein,##ites aiden ##ines oaxaca miniseries,5,"[7616, 15086, 10586, 26923, 13612]",100,44,56,-0.09792321920394897,0.03189741724625028,0,4800,,
scifact,hinge,Retinoic acid receptor-related orphan receptor gamma (RORγ) is a therapeutic target for castration-resistant prostate cancer (CRPC),17671145,The androgen receptor (AR) is overexpressed and hyperactivated in human castration-resistant prostate cancer (CRPC). How,3758260,"Intermittent PTH administration builds bone mass and prevents fractures, but its mechanism of action is unclear. We gene",test stages 志 ##igo ##ि,5,"[3231, 5711, 1851, 14031, 29877]",100,40,60,0.006431698799133301,0.03646192801525541,0,2400,,
scifact,hinge,Immune complex triggered cell death leads to extracellular release of nuclear DNA.,1049501,"Neutrophil extracellular traps (NETs) are implicated in autoimmunity, but how they are generated and their roles in ster",11156883,The concept of 'Compensatory anti-inflammatory response syndrome' (CARS) was proposed in 1997 by Roger Bone (1941-1997) ,ancestry brotherhood britain longitudinal alla,5,"[11377, 12865, 3725, 20134, 25699]",100,6,94,-0.04394906759262085,0.2060167038843342,0,3700,,
scifact,hinge,The US health care system can save up to $5 billion if 7% of patients waiting for kidney transplants participate in the optimized national kidney paired donation program.,16737210,CONTEXT Blood type and crossmatch incompatibility will exclude at least one third of patients in need from receiving a l,22057077,Methylphenidate is a medication used routinely in the management of attention deficit hyperactivity disorder. We report ,chloride reluctant ##vate salvador ##zine,5,"[19057, 11542, 16952, 10582, 21254]",100,1,99,0.09847694635391235,0.849809516776312,1,200,,
scifact,hinge,The NF-κB essential modulator gene induces intestinal inflammation by promoting receptor-interacting protein (RIP) kinase 1 kinase activity-mediated epithelial cell death.,18956141,"Intestinal epithelial cells (IECs) regulate gut immune homeostasis, and impaired epithelial responses are implicated in ",4362729,"Cell growth, an increase in mass and size, is a highly regulated cellular event. The Akt/mTOR (mammalian target of rapam",1679 engulfed ##ᄆ ##cion ##gina,5,"[27924, 24692, 29995, 10446, 20876]",100,8,92,-0.010828912258148193,0.1652743935620408,0,2200,,
scifact,hinge,Klf4 is important for proper myeloid cell differentiation.,6493422,"Precise control of myeloid cell activation is required for optimal host defense. However, this activation process must b",13106686,Immune sensing of DNA is critical for antiviral immunity but can also trigger autoimmune diseases such as lupus erythema,stucco ##lina ##ষ ##cum montenegrin,5,"[27443, 13786, 29911, 24894, 24099]",100,1,99,-0.046595096588134766,0.849809516776312,1,2300,,
scifact,hinge,Smc5/6 engagment halts the activation of SUMO E3 ligase Mms21 by ATP-dependent remolding.,17628888,"Modification of proteins by SUMO is essential for the maintenance of genome integrity. During DNA replication, the Mms21",12885341,"West Nile virus (WNV) is the most common arthropod-borne flavivirus in the United States; however, the vector ligand(s) ",##د hearts ##llie ##cion dangers,5,"[15394, 8072, 23697, 10446, 16796]",100,45,55,-0.00022125244140625,0.03085211355635223,0,2500,,
scifact,hinge,Drosophila supracellular actomyosin structures are found at boundaries in wing imaginal discs.,12800122,Subdividing proliferating tissues into compartments is an evolutionarily conserved strategy of animal development [1-6].,20568364,While significant progress has been made in understanding the induction of tumor vasculature by secreted angiogenic fact,##ksha novi waldo collectively swelled,5,"[28132, 21574, 28806, 13643, 21851]",100,15,85,-0.025961756706237793,0.09980951677631203,0,4300,,
scifact,hinge,An M2-like phenotype in brown adipose tissue macrophages is quickly induced by cold exposure.,4319174,"All homeotherms use thermogenesis to maintain their core body temperature, ensuring that cellular functions and physiolo",5783785,"The discovery of microRNAs (miRNAs) provides a new and powerful tool for studying the mechanism, diagnosis and treatment",creole ##enburg ##53 ##dev [unused323],5,"[21414, 12059, 22275, 24844, 328]",100,8,92,0.06816166639328003,0.1652743935620408,0,6600,,
scifact,hinge,Activation of the Rac1 homolog CED-10 kills viable cells in SRGP-1 mutant Caenorhabditis elegans.,1127562,Multicellular animals rapidly clear dying cells from their bodies. Many of the pathways that mediate this cell removal a,10765888,Neurogenesis is known to take place in the adult brain. This work identifies T lymphocytes and microglia as being import,reinforcements recognizing likelihood ##uary tingling,5,"[14214, 14622, 16593, 24384, 23690]",100,33,67,-0.028571665287017822,0.04637114900913464,0,3000,,
